Slno,Regn. No.,"CE
102",(3),"CH
101",(4),"CH
111",(2),"CS
101",(4),"CS
111",(2),EAA01,(0),EAA02,(0),"EC
101",(4),"EC
111",(2),"MA
102",(4),"ME
111",(2),GP,SGPA,CGPA,EAA
148,2311150,9,AB,7,BC,10,AA,7,BC,9,AB,,,,,7,BC,8,BB,7,BC,9,AB,211,7.81,7.75,-
149,2311151,5,CD,4,DD,9,AB,5,CD,7,BC,,,,,5,CD,8,BB,4,DD,6,CC,147,5.44,4.18,-
150,2311152,5,CD,4,DD,9,AB,0,F,6,CC,,,,,4,DD,9,AB,4,DD,7,BC,125,4.63,3.67,-
151,2311153,4,DD,4,DD,9,AB,4,DD,7,BC,,,,,5,CD,9,AB,4,DD,8,BB,146,5.41,5.36,-
152,2311154,8,BB,6,CC,9,AB,8,BB,10,AA,,,,,5,CD,10,AA,4,DD,9,AB,192,7.11,5.45,-
153,2311155,0,F,0,F,9,AB,0,F,6,CC,,,,,0,F,9,AB,4,DD,6,CC,76,2.81,2.73,-
154,2311156,5,CD,4,DD,9,AB,6,CC,6,CC,,,,,5,CD,10,AA,5,CD,8,BB,161,5.96,3.93,-
Slno,Regn. No.,CE 101,(3),EE 101,(4),EE 111,(2),HS 101,(3),HS 111,(2),MA 102,(4),ME 101,(4),PH 101,(4),PH 111,(2),GP,SGPA,CGPA,EAA
1,2312001,7,BC,8,BB,9,AB,7,BC,8,BB,8,BB,6,CC,6,CC,8,BB,204,7.29,7.64,-
2,2312002,6,CC,7,BC,10,AA,8,BB,9,AB,5,CD,0,F,5,CD,8,BB,164,5.86,6.2,-
3,2312003,7,BC,10,AA,10,AA,9,AB,9,AB,10,AA,9,AB,10,AA,8,BB,258,9.21,9.29,-
4,2312004,7,BC,10,AA,10,AA,9,AB,9,AB,10,AA,9,AB,10,AA,8,BB,258,9.21,9.16,-
5,2312005,6,CC,6,CC,9,AB,8,BB,9,AB,7,BC,7,BC,5,CD,7,BC,192,6.86,7.16,-
6,2312006,5,CD,4,DD,7,BC,5,CD,9,AB,4,DD,0,F,4,DD,6,CC,122,4.36,5.2,-
7,2312007,4,DD,7,BC,9,AB,6,CC,8,BB,6,CC,4,DD,6,CC,7,BC,170,6.07,6.33,-
8,2312008,5,CD,8,BB,9,AB,5,CD,9,AB,7,BC,5,CD,5,CD,7,BC,180,6.43,6.55,-
9,2312009,4,DD,8,BB,9,AB,8,BB,9,AB,6,CC,4,DD,6,CC,6,CC,180,6.43,6.49,-
10,2312010,5,CD,7,BC,9,AB,9,AB,9,AB,5,CD,4,DD,6,CC,7,BC,180,6.43,6.8,-
11,2312011,5,CD,10,AA,10,AA,8,BB,9,AB,9,AB,7,BC,8,BB,8,BB,229,8.18,8.29,-
12,2312012,7,BC,9,AB,10,AA,7,BC,9,AB,8,BB,8,BB,8,BB,8,BB,228,8.14,7.98,-
13,2312013,4,DD,5,CD,8,BB,7,BC,9,AB,5,CD,0,F,5,CD,6,CC,139,4.96,5.82,-
14,2312014,8,BB,8,BB,10,AA,9,AB,6,CC,8,BB,4,DD,8,BB,8,BB,211,7.54,6.69,-
15,2312015,7,BC,7,BC,10,AA,9,AB,9,AB,6,CC,0,F,5,CD,7,BC,172,6.14,6.73,-
16,2312016,4,DD,5,CD,9,AB,7,BC,9,AB,4,DD,0,F,4,DD,6,CC,133,4.75,5.36,-
17,2312017,4,DD,4,DD,8,BB,7,BC,7,BC,5,CD,0,F,0,F,4,DD,107,3.82,4.33,-
18,2312018,4,DD,4,DD,8,BB,6,CC,9,AB,4,DD,0,F,4,DD,5,CD,122,4.36,4.49,-
19,2312019,7,BC,9,AB,10,AA,8,BB,9,AB,9,AB,6,CC,9,AB,8,BB,231,8.25,8.45,-
20,2312020,9,AB,8,BB,10,AA,7,BC,9,AB,10,AA,8,BB,8,BB,9,AB,240,8.57,8.91,-
21,2312021,9,AB,10,AA,10,AA,10,AA,9,AB,10,AA,7,BC,10,AA,9,AB,261,9.32,9.47,-
22,2312022,7,BC,5,CD,10,AA,6,CC,9,AB,5,CD,0,F,6,CC,0,F,141,5.04,5.36,-
23,2312023,6,CC,6,CC,10,AA,8,BB,9,AB,7,BC,6,CC,5,CD,10,AA,196,7.00,6.89,-
24,2312024,7,BC,7,BC,10,AA,7,BC,9,AB,8,BB,8,BB,9,AB,10,AA,228,8.14,8.13,-
25,2312025,9,AB,10,AA,10,AA,10,AA,9,AB,9,AB,9,AB,7,BC,9,AB,253,9.04,8.75,-
26,2312026,8,BB,8,BB,10,AA,9,AB,9,AB,7,BC,5,CD,9,AB,8,BB,221,7.89,7.49,-
27,2312027,0,F,0,F,0,F,0,F,0,F,0,F,0,F,0,F,0,F,0,0.00,2.64,-
28,2312028,6,CC,9,AB,9,AB,8,BB,9,AB,8,BB,7,BC,8,BB,10,AA,226,8.07,8.47,-
29,2312029,9,AB,10,AA,10,AA,8,BB,9,AB,9,AB,6,CC,9,AB,9,AB,243,8.68,8.35,-
